公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数
浙江龙盛,2024,CSR,0.0,0.0,0.0,0,0.0,0.0,68,1
浙江龙盛,2024,年报,2.4978,0.353,0.0892,1,0.4629,39.3079,228997,10589
紫金矿业,2011,CSR,0.0,0.0,0.0,0,0.0,0.0,72,1
紫金矿业,2011,年报,1.128,0.5108,0.2326,1,0.0444,46.8718,292566,11193
紫金矿业,2012,CSR,10.0874,0.3544,0.1692,0,1.3429,14.0,32020,1123
紫金矿业,2012,年报,0.2058,0.4971,0.1572,0,0.0073,47.6048,272125,12136
紫金矿业,2013,CSR,11.2659,0.3635,0.1782,0,1.5377,13.75,31866,1139
紫金矿业,2013,年报,1.0321,0.5065,0.199,1,0.049,51.2881,265478,10159
紫金矿业,2014,年报,0.2404,0.5152,0.1877,0,0.0114,47.3588,262101,9951
紫金矿业,2015,年报,1.0843,0.4928,0.1956,1,0.1137,50.3089,246241,9237
紫金矿业,2016,CSR,14.791,0.2845,0.1151,0,1.3065,12.2326,21432,921
紫金矿业,2016,年报,1.115,0.4829,0.1885,1,0.2431,48.6602,259201,9732
紫金矿业,2017,CSR,15.504,0.3393,0.159,0,1.5779,16.4312,54502,2334
紫金矿业,2017,年报,1.2693,0.4748,0.1824,1,0.2509,48.1273,267076,10039
紫金矿业,2018,年报,1.003,0.4771,0.1655,0,0.0176,43.6897,339965,13489
紫金矿业,2020,年报,4.2396,0.4698,0.1856,1,0.3987,44.8768,341070,13069
紫金矿业,2021,年报,4.0182,0.4791,0.2074,1,0.3428,45.5599,379275,14370
紫金矿业,2022,年报,0.115,0.6773,0.1004,0,0.0098,65.241,1435364,19410
紫金矿业,2023,年报,2.4378,0.4571,0.1522,1,0.3166,45.8095,388470,17781
紫金矿业,2024,年报,2.3045,0.4516,0.1505,1,0.3333,42.2677,380996,17720
陕西煤业,2013,年报,1.9091,0.3439,0.125,1,0.3568,37.1071,168142,7953
陕西煤业,2014,年报,1.7187,0.3791,0.1187,1,0.3297,42.6189,185020,8096
陕西煤业,2015,年报,1.4496,0.3703,0.1015,1,0.2888,40.3699,173157,7426
陕西煤业,2016,CSR,22.0743,0.2118,0.0684,1,4.5972,9.92,25233,1067
陕西煤业,2016,年报,1.8007,0.3851,0.1085,1,0.3453,39.3183,188263,7702
陕西煤业,2017,CSR,22.0743,0.2118,0.0684,1,4.5972,9.92,25233,1067
陕西煤业,2017,年报,2.3821,0.383,0.111,1,0.4145,38.5175,200247,8638
陕西煤业,2018,CSR,18.4175,0.2031,0.0939,1,6.1492,8.4091,33175,1374
陕西煤业,2018,年报,3.5959,0.35,0.1059,1,0.4649,38.6137,210796,9212
陕西煤业,2019,CSR,18.4175,0.2031,0.0939,1,6.1492,8.4091,33175,1374
陕西煤业,2019,年报,2.3521,0.3633,0.0954,1,0.5537,41.1239,225752,9633
陕西煤业,2020,CSR,18.2981,0.2084,0.0738,1,5.671,11.1528,35796,1627
陕西煤业,2020,年报,2.1901,0.3852,0.1008,1,0.4629,43.3276,233327,9632
陕西煤业,2021,CSR,18.2981,0.2084,0.0738,1,5.671,11.1528,35796,1627
陕西煤业,2021,年报,5.0925,0.3682,0.1817,0,3.6848,34.8125,24153,1051
陕西煤业,2022,CSR,17.9814,0.2517,0.08,1,6.5715,12.6024,41543,1613
陕西煤业,2022,年报,3.2386,0.3657,0.0999,1,0.4596,42.1682,276357,11746
陕西煤业,2023,CSR,17.9814,0.2517,0.08,1,6.5715,12.6024,41543,1613
陕西煤业,2024,CSR,18.4082,0.2602,0.0817,1,5.894,14.5957,46827,1714
鞍钢股份,2011,CSR,11.7034,0.2931,0.1786,0,2.1654,10.5128,19396,812
鞍钢股份,2011,年报,0.7261,0.4016,0.1177,0,0.0981,24.6127,101919,5065
鞍钢股份,2012,CSR,15.0269,0.2724,0.1896,0,1.9509,10.5526,18966,749
鞍钢股份,2012,年报,0.9346,0.379,0.1003,0,0.2743,23.9645,98440,5055
鞍钢股份,2013,CSR,15.3692,0.2758,0.1912,0,2.4743,10.6429,21016,863
鞍钢股份,2013,年报,0.8812,0.3767,0.0877,0,0.3965,23.0837,113481,5835
鞍钢股份,2014,CSR,14.2162,0.2741,0.1837,0,2.6895,11.5957,23424,996
鞍钢股份,2014,年报,0.9475,0.3611,0.0923,1,0.4868,21.8174,115045,5934
鞍钢股份,2015,CSR,12.5106,0.289,0.197,0,1.4793,11.9787,23660,1000
鞍钢股份,2015,年报,0.8347,0.3505,0.0815,1,0.2237,21.8879,116215,6182
鞍钢股份,2016,CSR,13.1974,0.2871,0.1901,0,1.6397,11.82,25005,1052
鞍钢股份,2016,年报,0.9296,0.3373,0.0853,1,0.4847,19.6627,125862,6732
鞍钢股份,2017,CSR,12.9892,0.2614,0.1763,0,1.4527,11.4468,23404,987
鞍钢股份,2017,年报,1.4244,0.339,0.0926,1,0.6029,19.7925,132684,7017
鞍钢股份,2018,CSR,15.3715,0.2777,0.1836,0,1.8405,11.7627,29340,1253
鞍钢股份,2018,年报,1.4252,0.3825,0.1228,0,0.6255,25.3226,155066,8122
鞍钢股份,2019,CSR,14.8396,0.2568,0.1473,0,1.4015,12.7397,36389,1534
鞍钢股份,2019,年报,1.3009,0.3652,0.1093,0,0.661,24.419,142205,7350
鞍钢股份,2020,CSR,15.0249,0.2676,0.1796,0,2.1549,11.5,33877,1409
鞍钢股份,2020,年报,1.6953,0.3618,0.104,0,0.5375,22.9241,145108,7482
鞍钢股份,2021,CSR,13.9765,0.2816,0.1525,1,2.5563,11.9861,35989,1580
鞍钢股份,2021,年报,1.5605,0.3564,0.1094,0,0.4593,24.2044,158927,8445
鞍钢股份,2022,CSR,14.2544,0.297,0.1574,0,2.7961,13.5753,36480,1576
鞍钢股份,2022,年报,1.4239,0.3613,0.1079,1,0.509,24.7242,165042,8794
鞍钢股份,2023,CSR,13.9988,0.267,0.144,1,2.646,13.3409,44218,2056
鞍钢股份,2023,年报,1.7341,0.349,0.1102,1,0.4886,24.7976,167811,9095
鞍钢股份,2024,CSR,16.1392,0.2804,0.1038,1,2.2305,11.6421,47524,1965
鞍钢股份,2024,年报,2.2939,0.3537,0.1095,0,0.6052,24.5706,173502,9438
