公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数
兖矿能源,2021,年报,2.3141,0.3658,0.1273,1,0.2235,32.3261,277433,13445
兖矿能源,2022,年报,2.4498,0.3667,0.1273,1,0.2158,31.6547,277987,13222
兖矿能源,2023,年报,2.0319,0.3663,0.1295,1,0.2652,34.2907,313003,14912
兖矿能源,2024,年报,1.883,0.3646,0.1346,1,0.24,32.8209,320773,14899
华菱钢铁,2011,CSR,14.6679,0.2006,0.1358,0,0.5433,8.4667,7363,324
华菱钢铁,2011,年报,0.5443,0.4442,0.1899,1,0.1055,41.6472,180060,6542
华菱钢铁,2012,年报,0.4324,0.4248,0.2081,0,0.0602,40.5918,182697,6996
华菱钢铁,2013,年报,0.9806,0.4418,0.213,0,0.1304,40.0392,191720,7379
华菱钢铁,2014,年报,1.5492,0.4249,0.1526,1,0.1878,38.9619,170413,6907
华菱钢铁,2016,年报,0.1843,0.3894,0.2981,0,0.1843,25.9091,5426,208
华菱钢铁,2017,年报,1.4594,0.4749,0.2861,0,0.0,33.975,19871,678
华菱钢铁,2019,年报,2.3726,0.4386,0.1496,0,0.3731,40.995,201043,7669
华菱钢铁,2020,CSR,13.3265,0.3302,0.1716,1,3.6763,14.5085,58755,2535
华菱钢铁,2020,年报,1.5653,0.4335,0.1452,1,0.4278,40.2972,198683,7578
华菱钢铁,2021,年报,1.7073,0.4271,0.1224,1,0.3895,41.32,187435,7305
华菱钢铁,2022,CSR,11.3051,0.3033,0.1406,1,3.4247,14.2945,81468,3030
华菱钢铁,2022,年报,2.1174,0.4078,0.1193,1,0.4002,40.6253,197410,7960
华菱钢铁,2023,CSR,11.7667,0.2647,0.1408,1,4.0923,13.1957,92124,3593
华菱钢铁,2023,年报,2.2791,0.3783,0.1206,1,0.4606,38.3587,210613,8839
华菱钢铁,2024,CSR,0.0046,0.2142,0.0181,0,0.0,2.6824,432870,4982
华菱钢铁,2024,年报,2.7105,0.3674,0.1033,1,0.5557,37.0439,205129,8344
卫星化学,2011,年报,1.4825,0.3399,0.1121,0,0.268,31.1004,119396,4816
卫星化学,2012,年报,1.4467,0.3277,0.121,0,0.4246,30.1024,127185,5941
卫星化学,2013,年报,1.4231,0.3448,0.1367,0,0.6014,32.6949,118051,5464
卫星化学,2014,年报,1.0627,0.3615,0.1281,0,0.3707,33.8601,121389,5474
卫星化学,2015,年报,1.1994,0.3577,0.1227,0,0.4669,34.4817,109222,4875
卫星化学,2016,年报,1.0341,0.3657,0.1164,0,0.454,35.7059,118945,5431
卫星化学,2017,年报,1.4489,0.3635,0.1212,0,0.3333,35.2899,138034,6302
卫星化学,2018,年报,1.4318,0.3802,0.1271,0,0.3352,36.5734,143180,6460
卫星化学,2019,年报,1.7087,0.3938,0.131,0,0.3594,37.5516,169724,7443
卫星化学,2020,CSR,10.7481,0.2721,0.1203,1,2.8126,12.3125,39821,1746
卫星化学,2020,年报,1.9918,0.3955,0.1409,0,0.3682,36.8187,165680,7120
卫星化学,2021,CSR,13.1041,0.2265,0.0638,0,2.6263,10.7222,36172,1629
卫星化学,2021,年报,2.5362,0.399,0.1497,0,0.4218,37.1583,180191,7935
卫星化学,2022,年报,2.5894,0.3556,0.1352,0,0.4607,37.0641,171466,8105
卫星化学,2023,年报,2.7227,0.366,0.1365,0,0.4519,36.3171,174824,7898
卫星化学,2024,年报,3.0339,0.3589,0.1329,0,0.7671,35.4524,173377,7960
宝钢股份,2011,CSR,10.2019,0.3413,0.1439,1,1.3625,18.725,60185,2640
宝钢股份,2011,年报,0.8933,0.467,0.1917,0,0.2441,39.9844,192536,6870
宝钢股份,2012,CSR,10.3949,0.2604,0.1376,0,1.7945,14.6774,61857,3015
宝钢股份,2012,年报,0.8524,0.4688,0.1619,0,0.165,39.8049,181848,6753
宝钢股份,2013,CSR,10.3949,0.2604,0.1376,0,1.7945,14.6774,61857,3015
宝钢股份,2013,年报,0.9707,0.4496,0.1544,0,0.3672,40.5352,198818,7375
宝钢股份,2014,CSR,10.0193,0.294,0.1525,1,1.69,18.0862,57988,2813
宝钢股份,2014,年报,0.7812,0.4402,0.159,1,0.3399,40.6624,197142,7452
宝钢股份,2015,CSR,10.0275,0.3085,0.1699,0,1.9674,20.0632,47270,2107
宝钢股份,2015,年报,0.7696,0.4296,0.1567,0,0.2221,40.4884,193610,7481
宝钢股份,2016,CSR,12.0115,0.3331,0.1776,1,1.8699,16.6349,63106,2771
宝钢股份,2016,年报,0.8663,0.4256,0.1599,0,0.2065,39.4552,222788,8554
宝钢股份,2017,CSR,11.6246,0.3128,0.1826,1,2.2214,13.6667,46367,2065
宝钢股份,2017,年报,0.9159,0.4395,0.1557,1,0.2494,40.3599,244575,9024
宝钢股份,2018,CSR,12.5794,0.2969,0.1729,1,2.4556,13.086,46425,2065
宝钢股份,2018,年报,1.4301,0.4333,0.1483,1,0.2159,41.0102,245436,9179
宝钢股份,2019,CSR,12.9415,0.2546,0.1474,1,2.8495,11.4851,50535,2368
宝钢股份,2019,年报,1.7583,0.4237,0.1431,1,0.3403,39.0529,264462,9880
宝钢股份,2020,CSR,18.1102,0.197,0.1515,0,0.0,15.0,1270,66
宝钢股份,2020,年报,2.0694,0.4327,0.1428,0,0.2886,41.2163,263366,10017
宝钢股份,2021,CSR,16.7549,0.3438,0.0869,0,2.8064,12.9021,71621,2807
宝钢股份,2021,年报,1.7508,0.4251,0.152,0,0.2159,41.1794,301002,11936
宝钢股份,2022,CSR,18.9695,0.3053,0.1046,0,3.1567,14.7794,102006,3574
宝钢股份,2022,年报,2.0555,0.4165,0.1447,1,0.2917,39.5695,294822,11888
宝钢股份,2023,年报,2.2178,0.3757,0.1345,1,0.2926,38.4549,276846,11701
山西焦煤,2011,CSR,18.3224,0.198,0.0866,1,0.238,6.6471,8405,404
山西焦煤,2011,年报,1.1544,0.3876,0.142,0,0.0459,40.482,152455,6723
山西焦煤,2012,CSR,19.3811,0.1763,0.116,0,0.8566,6.1579,9339,431
山西焦煤,2012,年报,1.331,0.4249,0.1771,0,0.1392,40.1541,165288,7246
山西焦煤,2013,CSR,24.8979,0.1988,0.095,0,1.0539,6.2667,7591,337
山西焦煤,2013,年报,1.4214,0.3945,0.1497,1,0.1252,40.348,159697,7449
山西焦煤,2014,CSR,26.1941,0.1615,0.0878,0,1.1853,4.7647,8437,353
山西焦煤,2014,年报,1.3128,0.3823,0.1126,1,0.1115,40.0031,161489,7466
山西焦煤,2015,CSR,26.6509,0.1523,0.0761,0,1.4151,4.4706,8480,394
山西焦煤,2015,年报,1.1396,0.3758,0.1082,1,0.1349,39.2593,148297,7108
山西焦煤,2016,CSR,19.5672,0.2006,0.0898,0,1.2958,4.9333,7717,334
山西焦煤,2016,年报,1.4515,0.3876,0.1192,1,0.1606,39.7106,155699,7307
山西焦煤,2017,CSR,16.6064,0.1563,0.0968,0,1.3556,5.3889,8852,403
山西焦煤,2017,年报,1.9147,0.3821,0.1135,1,0.1464,37.1324,177571,8569
山西焦煤,2018,CSR,18.0027,0.1932,0.1368,0,1.4436,8.2083,11776,497
山西焦煤,2018,年报,2.3903,0.3736,0.1061,1,0.1587,35.6328,201650,9552
