stock_code,company_name,title,publish_date,penalty_year,pdf_url
000401,唐山冀东水泥股份有限公司,冀东水泥：关于全资子公司冀东水泥吉林有限责任公司收到吉林省物价局《行政处罚决定书》的公告,2014-09-11,2014,http://static.cninfo.com.cn/finalpage/2014-09-11/1200223040.PDF
002422,四川科伦药业股份有限公司,科伦药业：关于收到《中国证券监督管理委员会四川监管局行政处罚决定书》的公告,2015-04-23,2015,http://static.cninfo.com.cn/finalpage/2015-04-23/1200890813.PDF
002422,四川科伦药业股份有限公司,科伦药业：关于收到中国证监会《行政处罚决定书》的公告,2014-06-05,2014,http://static.cninfo.com.cn/finalpage/2014-06-05/64102550.PDF
